"Samples"	"Cluster"
"GSM71019.CEL"	"3"
"GSM71020.CEL"	"3"
"GSM71021.CEL"	"3"
"GSM71022.CEL"	"3"
"GSM71023.CEL"	"3"
"GSM71024.CEL"	"1"
"GSM71025.CEL"	"3"
"GSM71026.CEL"	"3"
"GSM71028.CEL"	"2"
"GSM71029.CEL"	"3"
"GSM71030.CEL"	"1"
"GSM71031.CEL"	"1"
"GSM71032.CEL"	"1"
"GSM71033.CEL"	"3"
"GSM71034.CEL"	"1"
"GSM71035.CEL"	"2"
"GSM71036.CEL"	"1"
"GSM71037.CEL"	"2"
"GSM71038.CEL"	"1"
"GSM71039.CEL"	"2"
"GSM71040.CEL"	"2"
"GSM71041.CEL"	"2"
"GSM71042.CEL"	"1"
"GSM71043.CEL"	"2"
"GSM71044.CEL"	"3"
"GSM71045.CEL"	"1"
"GSM71046.CEL"	"1"
"GSM71047.CEL"	"3"
"GSM71048.CEL"	"1"
"GSM71049.CEL"	"3"
"GSM71050.CEL"	"2"
"GSM71051.CEL"	"3"
"GSM71052.CEL"	"2"
"GSM71053.CEL"	"1"
"GSM71054.CEL"	"2"
"GSM71055.CEL"	"1"
"GSM71056.CEL"	"1"
"GSM71058.CEL"	"1"
"GSM71059.CEL"	"1"
"GSM71060.CEL"	"2"
"GSM71061.CEL"	"2"
"GSM71062.CEL"	"1"
"GSM71063.CEL"	"2"
"GSM71064.CEL"	"1"
"GSM71065.CEL"	"1"
"GSM71066.CEL"	"1"
"GSM71067.CEL"	"1"
"GSM71068.CEL"	"1"
"GSM71069.CEL"	"3"
"GSM71070.CEL"	"3"
"GSM71071.CEL"	"3"
"GSM71072.CEL"	"3"
"GSM71073.CEL"	"3"
"GSM71074.CEL"	"3"
"GSM71075.CEL"	"3"
"GSM71076.CEL"	"3"
"GSM71077.CEL"	"3"
